Topic,Avg Latency (µs),Min Latency,Max Latency,Received,Expected,Reach Rate (%)
perception/objects,187,96,297,1190,1190,100.00
camera/front,26163,5426,46846,2204,2418,91.15
camera/left,26281,4072,48066,2174,2405,90.40
camera/right,26104,6126,46891,2171,2417,89.82
lidar/main,51869,39564,67290,395,1028,38.42
camera/rear,26158,8056,45911,2201,2407,91.44
radar/front,25058,7013,42011,970,1111,87.31
radar/rear,24940,7842,46956,988,1104,89.49
lidar/aux,52501,40625,67404,426,1028,41.44
