radar/front | seq = 14 | latency = 27522 µs
perception/objects | seq = 16 | latency = 978 µs
camera/front | seq = 28 | latency = 31522 µs
camera/rear | seq = 29 | latency = 20477 µs
camera/right | seq = 30 | latency = 26126 µs
lidar/main | seq = 15 | latency = 44770 µs
camera/front | seq = 29 | latency = 26049 µs
radar/rear | seq = 14 | latency = 25784 µs
camera/left | seq = 30 | latency = 32701 µs
camera/rear | seq = 30 | latency = 34903 µs
radar/front | seq = 15 | latency = 21962 µs
perception/objects | seq = 17 | latency = 1056 µs
camera/rear | seq = 31 | latency = 22951 µs
camera/left | seq = 31 | latency = 25068 µs
camera/right | seq = 32 | latency = 26131 µs
camera/front | seq = 31 | latency = 21398 µs
radar/rear | seq = 15 | latency = 19401 µs
camera/rear | seq = 32 | latency = 25479 µs
camera/left | seq = 32 | latency = 29996 µs
camera/right | seq = 33 | latency = 25072 µs
radar/front | seq = 16 | latency = 23172 µs
perception/objects | seq = 18 | latency = 1074 µs
camera/front | seq = 32 | latency = 27618 µs
lidar/main | seq = 17 | latency = 42874 µs
camera/rear | seq = 33 | latency = 32012 µs
camera/left | seq = 33 | latency = 38920 µs
radar/rear | seq = 16 | latency = 14144 µs
camera/left | seq = 34 | latency = 21081 µs
camera/rear | seq = 34 | latency = 26973 µs
camera/right | seq = 35 | latency = 29695 µs
camera/front | seq = 34 | latency = 27387 µs
camera/front | seq = 35 | latency = 6336 µs
perception/objects | seq = 19 | latency = 947 µs
camera/right | seq = 36 | latency = 12530 µs
camera/left | seq = 36 | latency = 15109 µs
camera/rear | seq = 36 | latency = 19062 µs
radar/rear | seq = 17 | latency = 17510 µs
camera/front | seq = 36 | latency = 15370 µs
camera/right | seq = 37 | latency = 21613 µs
lidar/aux | seq = 15 | latency = 43379 µs
camera/left | seq = 37 | latency = 26176 µs
perception/objects | seq = 20 | latency = 943 µs
camera/rear | seq = 37 | latency = 31768 µs
radar/front | seq = 18 | latency = 32648 µs
camera/front | seq = 37 | latency = 27376 µs
camera/left | seq = 38 | latency = 34343 µs
camera/right | seq = 38 | latency = 38161 µs
camera/rear | seq = 38 | latency = 27417 µs
camera/front | seq = 38 | latency = 30362 µs
radar/rear | seq = 18 | latency = 28921 µs
camera/left | seq = 39 | latency = 26657 µs
camera/right | seq = 39 | latency = 27917 µs
perception/objects | seq = 21 | latency = 927 µs
camera/rear | seq = 39 | latency = 31617 µs
radar/front | seq = 19 | latency = 32006 µs
camera/front | seq = 39 | latency = 33127 µs
lidar/main | seq = 20 | latency = 43362 µs
camera/left | seq = 40 | latency = 33872 µs
camera/right | seq = 40 | latency = 31083 µs
camera/rear | seq = 40 | latency = 31111 µs
radar/rear | seq = 19 | latency = 27597 µs
perception/objects | seq = 22 | latency = 1000 µs
camera/left | seq = 41 | latency = 33351 µs
camera/front | seq = 40 | latency = 38923 µs
camera/right | seq = 41 | latency = 31422 µs
camera/rear | seq = 41 | latency = 33197 µs
radar/front | seq = 20 | latency = 31707 µs
camera/left | seq = 42 | latency = 21649 µs
camera/front | seq = 41 | latency = 24009 µs
camera/right | seq = 42 | latency = 27331 µs
camera/rear | seq = 42 | latency = 26082 µs
radar/rear | seq = 20 | latency = 29134 µs
perception/objects | seq = 23 | latency = 1021 µs
camera/left | seq = 43 | latency = 27326 µs
lidar/main | seq = 22 | latency = 43055 µs
camera/right | seq = 43 | latency = 30654 µs
camera/front | seq = 42 | latency = 34891 µs
camera/rear | seq = 43 | latency = 39288 µs
camera/left | seq = 44 | latency = 36577 µs
radar/front | seq = 21 | latency = 37446 µs
camera/right | seq = 44 | latency = 35378 µs
camera/front | seq = 43 | latency = 33975 µs
camera/right | seq = 45 | latency = 12796 µs
perception/objects | seq = 24 | latency = 1034 µs
camera/front | seq = 44 | latency = 13255 µs
camera/left | seq = 46 | latency = 13080 µs
camera/rear | seq = 45 | latency = 19183 µs
radar/front | seq = 22 | latency = 16791 µs
camera/right | seq = 46 | latency = 20985 µs
camera/front | seq = 45 | latency = 23126 µs
lidar/aux | seq = 19 | latency = 44554 µs
camera/left | seq = 47 | latency = 26513 µs
perception/objects | seq = 25 | latency = 947 µs
camera/rear | seq = 46 | latency = 29166 µs
radar/rear | seq = 22 | latency = 24316 µs
camera/right | seq = 47 | latency = 30398 µs
camera/front | seq = 46 | latency = 33806 µs
camera/left | seq = 48 | latency = 35686 µs
camera/rear | seq = 47 | latency = 28680 µs
camera/right | seq = 48 | latency = 26154 µs
radar/front | seq = 23 | latency = 27579 µs
camera/front | seq = 47 | latency = 31683 µs
perception/objects | seq = 26 | latency = 1036 µs
camera/left | seq = 49 | latency = 28572 µs
radar/rear | seq = 23 | latency = 24002 µs
camera/right | seq = 49 | latency = 29749 µs
camera/rear | seq = 48 | latency = 33827 µs
camera/front | seq = 48 | latency = 33221 µs
lidar/main | seq = 25 | latency = 44894 µs
camera/left | seq = 50 | latency = 33244 µs
camera/right | seq = 50 | latency = 32880 µs
radar/front | seq = 24 | latency = 19251 µs
perception/objects | seq = 27 | latency = 1078 µs
camera/left | seq = 51 | latency = 22112 µs
radar/rear | seq = 24 | latency = 24790 µs
camera/right | seq = 51 | latency = 30512 µs
camera/front | seq = 50 | latency = 30373 µs
camera/rear | seq = 50 | latency = 30401 µs
camera/left | seq = 52 | latency = 30056 µs
camera/front | seq = 51 | latency = 22338 µs
camera/right | seq = 52 | latency = 26758 µs
camera/rear | seq = 51 | latency = 25960 µs
perception/objects | seq = 28 | latency = 981 µs
camera/front | seq = 52 | latency = 21384 µs
camera/left | seq = 53 | latency = 27707 µs
radar/rear | seq = 25 | latency = 31238 µs
lidar/main | seq = 27 | latency = 45522 µs
camera/right | seq = 53 | latency = 34137 µs
camera/rear | seq = 52 | latency = 37333 µs
camera/front | seq = 53 | latency = 35129 µs
camera/left | seq = 54 | latency = 36410 µs
perception/objects | seq = 29 | latency = 956 µs
camera/right | seq = 54 | latency = 34615 µs
camera/rear | seq = 53 | latency = 29794 µs
radar/front | seq = 26 | latency = 30018 µs
camera/left | seq = 55 | latency = 28474 µs
camera/front | seq = 54 | latency = 34548 µs
camera/rear | seq = 54 | latency = 18795 µs
camera/left | seq = 56 | latency = 17610 µs
camera/front | seq = 55 | latency = 23162 µs
camera/right | seq = 56 | latency = 22512 µs
perception/objects | seq = 30 | latency = 956 µs
camera/rear | seq = 55 | latency = 27462 µs
lidar/aux | seq = 23 | latency = 46340 µs
radar/front | seq = 27 | latency = 21536 µs
camera/front | seq = 56 | latency = 28070 µs
camera/left | seq = 57 | latency = 33864 µs
camera/right | seq = 57 | latency = 33156 µs
camera/rear | seq = 56 | latency = 37816 µs
radar/rear | seq = 27 | latency = 35317 µs
camera/front | seq = 57 | latency = 35799 µs
perception/objects | seq = 31 | latency = 933 µs
camera/left | seq = 58 | latency = 33308 µs
camera/rear | seq = 57 | latency = 30846 µs
camera/right | seq = 58 | latency = 34417 µs
camera/left | seq = 59 | latency = 21155 µs
camera/right | seq = 59 | latency = 19531 µs
camera/rear | seq = 58 | latency = 24018 µs
lidar/main | seq = 30 | latency = 45740 µs
camera/front | seq = 59 | latency = 28756 µs
perception/objects | seq = 32 | latency = 965 µs
radar/rear | seq = 28 | latency = 27256 µs
camera/left | seq = 60 | latency = 30309 µs
camera/right | seq = 60 | latency = 29741 µs
camera/rear | seq = 59 | latency = 33015 µs
camera/front | seq = 60 | latency = 36886 µs
radar/front | seq = 29 | latency = 31927 µs
camera/right | seq = 61 | latency = 28080 µs
camera/left | seq = 61 | latency = 29437 µs
camera/rear | seq = 60 | latency = 27764 µs
radar/rear | seq = 29 | latency = 26877 µs
perception/objects | seq = 33 | latency = 888 µs
camera/front | seq = 61 | latency = 28123 µs
camera/right | seq = 62 | latency = 26928 µs
camera/left | seq = 62 | latency = 28817 µs
camera/rear | seq = 61 | latency = 28820 µs
camera/front | seq = 62 | latency = 25276 µs
lidar/aux | seq = 26 | latency = 46120 µs
radar/front | seq = 30 | latency = 27077 µs
camera/right | seq = 63 | latency = 33259 µs
camera/left | seq = 63 | latency = 39952 µs
perception/objects | seq = 34 | latency = 1018 µs
camera/rear | seq = 63 | latency = 17865 µs
camera/right | seq = 64 | latency = 24021 µs
camera/left | seq = 64 | latency = 29181 µs
camera/front | seq = 64 | latency = 24053 µs
camera/right | seq = 65 | latency = 18511 µs
camera/rear | seq = 64 | latency = 25076 µs
radar/front | seq = 31 | latency = 27149 µs
camera/front | seq = 65 | latency = 24004 µs
camera/left | seq = 65 | latency = 29975 µs
radar/rear | seq = 31 | latency = 27305 µs
perception/objects | seq = 35 | latency = 1042 µs
camera/right | seq = 66 | latency = 31935 µs
lidar/aux | seq = 28 | latency = 45910 µs
camera/rear | seq = 65 | latency = 32239 µs
camera/left | seq = 66 | latency = 24965 µs
camera/rear | seq = 66 | latency = 24732 µs
camera/right | seq = 67 | latency = 28429 µs
camera/front | seq = 67 | latency = 33550 µs
radar/front | seq = 32 | latency = 29630 µs
perception/objects | seq = 36 | latency = 914 µs
camera/left | seq = 67 | latency = 30711 µs
radar/rear | seq = 32 | latency = 30090 µs
camera/rear | seq = 67 | latency = 34764 µs
camera/right | seq = 68 | latency = 40028 µs
camera/front | seq = 68 | latency = 33942 µs
camera/left | seq = 68 | latency = 30833 µs
camera/rear | seq = 68 | latency = 27043 µs
radar/front | seq = 33 | latency = 22406 µs
camera/front | seq = 69 | latency = 28645 µs
perception/objects | seq = 37 | latency = 1072 µs
lidar/main | seq = 34 | latency = 45890 µs
camera/right | seq = 69 | latency = 32345 µs
camera/left | seq = 69 | latency = 37984 µs
camera/right | seq = 70 | latency = 16996 µs
camera/left | seq = 70 | latency = 22925 µs
camera/rear | seq = 70 | latency = 20706 µs
camera/front | seq = 71 | latency = 24166 µs
radar/front | seq = 34 | latency = 18401 µs
camera/right | seq = 71 | latency = 21266 µs
perception/objects | seq = 38 | latency = 939 µs
camera/front | seq = 72 | latency = 13439 µs
camera/right | seq = 72 | latency = 14749 µs
radar/rear | seq = 34 | latency = 17586 µs
