camera/rear | seq = 27 | latency = 25719 µs
camera/left | seq = 29 | latency = 25319 µs
lidar/aux | seq = 11 | latency = 49210 µs
camera/front | seq = 29 | latency = 27164 µs
radar/front | seq = 13 | latency = 26447 µs
camera/right | seq = 28 | latency = 24014 µs
camera/rear | seq = 28 | latency = 27586 µs
camera/front | seq = 30 | latency = 18207 µs
camera/left | seq = 31 | latency = 13803 µs
camera/right | seq = 29 | latency = 19604 µs
perception/objects | seq = 15 | latency = 269 µs
camera/rear | seq = 29 | latency = 23433 µs
camera/front | seq = 31 | latency = 22821 µs
camera/left | seq = 32 | latency = 21222 µs
radar/front | seq = 14 | latency = 22738 µs
lidar/aux | seq = 12 | latency = 49726 µs
camera/right | seq = 30 | latency = 23940 µs
camera/rear | seq = 30 | latency = 26504 µs
camera/front | seq = 32 | latency = 28684 µs
radar/rear | seq = 14 | latency = 25462 µs
camera/left | seq = 33 | latency = 28886 µs
camera/right | seq = 31 | latency = 29069 µs
perception/objects | seq = 16 | latency = 270 µs
camera/rear | seq = 31 | latency = 27094 µs
camera/front | seq = 33 | latency = 21729 µs
radar/front | seq = 15 | latency = 18092 µs
camera/left | seq = 34 | latency = 24208 µs
camera/right | seq = 32 | latency = 30131 µs
lidar/aux | seq = 13 | latency = 49789 µs
camera/rear | seq = 32 | latency = 26801 µs
camera/front | seq = 34 | latency = 27962 µs
radar/rear | seq = 15 | latency = 19957 µs
camera/left | seq = 35 | latency = 25027 µs
perception/objects | seq = 17 | latency = 297 µs
camera/right | seq = 33 | latency = 25753 µs
camera/rear | seq = 33 | latency = 22210 µs
camera/front | seq = 35 | latency = 28282 µs
camera/left | seq = 36 | latency = 22976 µs
radar/front | seq = 16 | latency = 24423 µs
camera/right | seq = 34 | latency = 28883 µs
lidar/aux | seq = 14 | latency = 49119 µs
camera/rear | seq = 34 | latency = 31707 µs
camera/front | seq = 36 | latency = 24694 µs
camera/left | seq = 37 | latency = 27777 µs
radar/rear | seq = 16 | latency = 27523 µs
camera/right | seq = 35 | latency = 20632 µs
perception/objects | seq = 18 | latency = 271 µs
camera/rear | seq = 35 | latency = 24816 µs
camera/front | seq = 37 | latency = 22379 µs
camera/left | seq = 38 | latency = 23609 µs
radar/front | seq = 17 | latency = 27258 µs
camera/right | seq = 36 | latency = 22974 µs
camera/rear | seq = 36 | latency = 28215 µs
camera/front | seq = 38 | latency = 33359 µs
lidar/main | seq = 16 | latency = 49691 µs
camera/left | seq = 39 | latency = 29715 µs
camera/right | seq = 37 | latency = 26937 µs
radar/rear | seq = 17 | latency = 20493 µs
perception/objects | seq = 19 | latency = 257 µs
