Topic,Avg Latency (µs),Min Latency,Max Latency,Received,Expected,Reach Rate (%)
perception/objects,136,103,304,1189,1189,100.00
camera/front,23008,3719,35345,2414,2547,94.78
camera/left,22959,6824,35034,2402,2548,94.27
camera/right,23005,8480,34827,2408,2544,94.65
camera/rear,23071,7041,33807,2380,2549,93.37
radar/front,21801,9109,33718,1045,1134,92.15
lidar/main,45858,44370,46740,390,1112,35.07
radar/rear,21656,2795,32664,1029,1132,90.90
lidar/aux,45903,43550,46646,458,1107,41.37
