perception/objects | seq = 1 | latency = 204 µs
camera/front | seq = 1 | latency = 6132 µs
camera/left | seq = 1 | latency = 11167 µs
camera/right | seq = 1 | latency = 16845 µs
camera/rear | seq = 1 | latency = 22702 µs
radar/front | seq = 1 | latency = 21974 µs
camera/left | seq = 2 | latency = 6824 µs
camera/front | seq = 2 | latency = 12615 µs
camera/right | seq = 2 | latency = 14230 µs
lidar/main | seq = 1 | latency = 46547 µs
camera/rear | seq = 2 | latency = 13613 µs
perception/objects | seq = 2 | latency = 260 µs
camera/left | seq = 3 | latency = 11188 µs
camera/front | seq = 3 | latency = 17718 µs
camera/right | seq = 3 | latency = 21397 µs
camera/rear | seq = 3 | latency = 18115 µs
camera/left | seq = 4 | latency = 18009 µs
camera/front | seq = 4 | latency = 16790 µs
camera/right | seq = 4 | latency = 21781 µs
camera/rear | seq = 4 | latency = 22479 µs
perception/objects | seq = 3 | latency = 116 µs
camera/left | seq = 5 | latency = 21208 µs
camera/front | seq = 5 | latency = 22303 µs
camera/right | seq = 5 | latency = 18961 µs
camera/rear | seq = 5 | latency = 18972 µs
camera/left | seq = 6 | latency = 13861 µs
radar/rear | seq = 3 | latency = 12726 µs
radar/front | seq = 3 | latency = 11000 µs
camera/front | seq = 6 | latency = 16439 µs
camera/right | seq = 6 | latency = 11504 µs
camera/rear | seq = 6 | latency = 7041 µs
camera/left | seq = 7 | latency = 7246 µs
perception/objects | seq = 4 | latency = 276 µs
camera/front | seq = 7 | latency = 9185 µs
camera/right | seq = 7 | latency = 11797 µs
camera/rear | seq = 7 | latency = 8981 µs
camera/left | seq = 8 | latency = 13230 µs
camera/front | seq = 8 | latency = 10850 µs
lidar/aux | seq = 3 | latency = 43550 µs
radar/rear | seq = 4 | latency = 13315 µs
radar/front | seq = 4 | latency = 14826 µs
camera/right | seq = 8 | latency = 20182 µs
camera/rear | seq = 8 | latency = 20776 µs
camera/left | seq = 9 | latency = 22027 µs
perception/objects | seq = 5 | latency = 272 µs
camera/front | seq = 9 | latency = 19626 µs
camera/right | seq = 9 | latency = 19461 µs
camera/rear | seq = 9 | latency = 22065 µs
camera/left | seq = 10 | latency = 20133 µs
camera/front | seq = 10 | latency = 13819 µs
camera/right | seq = 10 | latency = 16936 µs
radar/rear | seq = 5 | latency = 17357 µs
radar/front | seq = 5 | latency = 17065 µs
camera/left | seq = 11 | latency = 21241 µs
camera/front | seq = 11 | latency = 16570 µs
perception/objects | seq = 6 | latency = 265 µs
camera/right | seq = 11 | latency = 14447 µs
camera/rear | seq = 11 | latency = 18074 µs
camera/left | seq = 12 | latency = 22681 µs
lidar/aux | seq = 5 | latency = 45521 µs
camera/front | seq = 12 | latency = 20460 µs
camera/right | seq = 12 | latency = 18777 µs
camera/left | seq = 13 | latency = 22555 µs
camera/rear | seq = 12 | latency = 27905 µs
radar/front | seq = 6 | latency = 25251 µs
camera/right | seq = 13 | latency = 21894 µs
perception/objects | seq = 7 | latency = 279 µs
camera/left | seq = 14 | latency = 22443 µs
camera/rear | seq = 13 | latency = 23787 µs
camera/front | seq = 14 | latency = 21926 µs
camera/right | seq = 14 | latency = 25083 µs
camera/left | seq = 15 | latency = 27740 µs
camera/rear | seq = 14 | latency = 25522 µs
radar/front | seq = 7 | latency = 19607 µs
camera/front | seq = 15 | latency = 21993 µs
radar/rear | seq = 7 | latency = 18203 µs
camera/left | seq = 16 | latency = 21134 µs
camera/right | seq = 15 | latency = 20499 µs
perception/objects | seq = 8 | latency = 280 µs
camera/front | seq = 16 | latency = 10330 µs
camera/left | seq = 17 | latency = 8507 µs
camera/right | seq = 16 | latency = 11863 µs
camera/rear | seq = 16 | latency = 13388 µs
camera/front | seq = 17 | latency = 17087 µs
radar/front | seq = 8 | latency = 11739 µs
camera/left | seq = 18 | latency = 16800 µs
camera/right | seq = 17 | latency = 16433 µs
lidar/aux | seq = 7 | latency = 46056 µs
radar/rear | seq = 8 | latency = 16766 µs
perception/objects | seq = 9 | latency = 263 µs
camera/rear | seq = 17 | latency = 21552 µs
camera/front | seq = 18 | latency = 22576 µs
camera/left | seq = 19 | latency = 26282 µs
camera/right | seq = 18 | latency = 20653 µs
camera/rear | seq = 18 | latency = 25762 µs
camera/front | seq = 19 | latency = 23246 µs
camera/left | seq = 20 | latency = 18493 µs
radar/front | seq = 9 | latency = 17040 µs
camera/right | seq = 19 | latency = 17048 µs
radar/rear | seq = 9 | latency = 11131 µs
camera/left | seq = 21 | latency = 8081 µs
camera/right | seq = 20 | latency = 10926 µs
perception/objects | seq = 10 | latency = 282 µs
