camera/front | seq = 27 | latency = 20201 µs
radar/rear | seq = 12 | latency = 20716 µs
camera/rear | seq = 27 | latency = 25433 µs
camera/left | seq = 28 | latency = 21207 µs
camera/right | seq = 27 | latency = 22429 µs
camera/front | seq = 28 | latency = 20392 µs
camera/rear | seq = 28 | latency = 15899 µs
camera/left | seq = 29 | latency = 14417 µs
radar/front | seq = 13 | latency = 15452 µs
camera/front | seq = 29 | latency = 15338 µs
camera/right | seq = 28 | latency = 20213 µs
perception/objects | seq = 14 | latency = 2166 µs
camera/rear | seq = 29 | latency = 22187 µs
radar/rear | seq = 13 | latency = 20065 µs
camera/left | seq = 30 | latency = 20275 µs
camera/front | seq = 30 | latency = 20208 µs
lidar/main | seq = 11 | latency = 44600 µs
camera/right | seq = 29 | latency = 23336 µs
camera/rear | seq = 30 | latency = 25166 µs
camera/left | seq = 31 | latency = 16182 µs
camera/front | seq = 31 | latency = 16767 µs
radar/front | seq = 14 | latency = 15333 µs
camera/rear | seq = 31 | latency = 14010 µs
camera/right | seq = 30 | latency = 16903 µs
radar/rear | seq = 14 | latency = 13107 µs
perception/objects | seq = 15 | latency = 2146 µs
camera/left | seq = 32 | latency = 16929 µs
camera/front | seq = 32 | latency = 18208 µs
camera/rear | seq = 32 | latency = 20782 µs
camera/right | seq = 31 | latency = 16096 µs
camera/left | seq = 33 | latency = 17288 µs
lidar/main | seq = 12 | latency = 44986 µs
camera/front | seq = 33 | latency = 18805 µs
camera/rear | seq = 33 | latency = 20470 µs
radar/front | seq = 15 | latency = 15461 µs
camera/right | seq = 32 | latency = 16995 µs
camera/left | seq = 34 | latency = 15095 µs
radar/rear | seq = 15 | latency = 14272 µs
perception/objects | seq = 16 | latency = 2261 µs
camera/front | seq = 34 | latency = 20146 µs
camera/rear | seq = 34 | latency = 22201 µs
camera/right | seq = 33 | latency = 18904 µs
camera/left | seq = 35 | latency = 18153 µs
camera/rear | seq = 35 | latency = 16121 µs
camera/front | seq = 35 | latency = 21616 µs
lidar/main | seq = 13 | latency = 46046 µs
camera/right | seq = 34 | latency = 23447 µs
camera/left | seq = 36 | latency = 23473 µs
radar/front | seq = 16 | latency = 24108 µs
radar/rear | seq = 16 | latency = 17729 µs
perception/objects | seq = 17 | latency = 2302 µs
camera/right | seq = 35 | latency = 18473 µs
camera/left | seq = 37 | latency = 19268 µs
camera/rear | seq = 37 | latency = 18822 µs
camera/front | seq = 37 | latency = 20484 µs
camera/right | seq = 36 | latency = 16866 µs
camera/left | seq = 38 | latency = 17951 µs
camera/rear | seq = 38 | latency = 15111 µs
radar/front | seq = 17 | latency = 12949 µs
camera/front | seq = 38 | latency = 17264 µs
camera/right | seq = 37 | latency = 16225 µs
camera/left | seq = 39 | latency = 21368 µs
perception/objects | seq = 18 | latency = 2120 µs
radar/rear | seq = 17 | latency = 19869 µs
camera/rear | seq = 39 | latency = 20556 µs
camera/front | seq = 39 | latency = 24690 µs
camera/left | seq = 40 | latency = 23589 µs
lidar/aux | seq = 15 | latency = 45656 µs
camera/right | seq = 38 | latency = 28774 µs
camera/rear | seq = 40 | latency = 20918 µs
camera/left | seq = 41 | latency = 19809 µs
camera/front | seq = 40 | latency = 22210 µs
radar/front | seq = 18 | latency = 22171 µs
camera/right | seq = 39 | latency = 24691 µs
perception/objects | seq = 19 | latency = 2241 µs
radar/rear | seq = 18 | latency = 21390 µs
camera/rear | seq = 41 | latency = 25870 µs
camera/front | seq = 41 | latency = 23589 µs
camera/left | seq = 42 | latency = 25101 µs
camera/right | seq = 40 | latency = 15991 µs
camera/rear | seq = 42 | latency = 13530 µs
camera/front | seq = 42 | latency = 16809 µs
camera/right | seq = 41 | latency = 13054 µs
camera/left | seq = 43 | latency = 18847 µs
radar/front | seq = 19 | latency = 19456 µs
perception/objects | seq = 20 | latency = 2212 µs
camera/front | seq = 43 | latency = 18580 µs
camera/rear | seq = 43 | latency = 23128 µs
radar/rear | seq = 19 | latency = 24045 µs
lidar/main | seq = 16 | latency = 45667 µs
camera/right | seq = 42 | latency = 20435 µs
camera/left | seq = 44 | latency = 25608 µs
camera/front | seq = 44 | latency = 22342 µs
camera/rear | seq = 44 | latency = 26473 µs
camera/right | seq = 43 | latency = 23399 µs
camera/left | seq = 45 | latency = 21920 µs
camera/front | seq = 45 | latency = 24300 µs
radar/front | seq = 20 | latency = 21617 µs
perception/objects | seq = 21 | latency = 2125 µs
radar/rear | seq = 20 | latency = 17119 µs
camera/rear | seq = 45 | latency = 19712 µs
camera/right | seq = 44 | latency = 22533 µs
camera/front | seq = 46 | latency = 13231 µs
camera/rear | seq = 46 | latency = 9568 µs
camera/right | seq = 45 | latency = 13046 µs
camera/left | seq = 47 | latency = 17991 µs
camera/front | seq = 47 | latency = 17846 µs
radar/front | seq = 21 | latency = 10152 µs
camera/left | seq = 48 | latency = 14310 µs
lidar/aux | seq = 18 | latency = 45661 µs
camera/rear | seq = 47 | latency = 18434 µs
perception/objects | seq = 22 | latency = 2333 µs
camera/right | seq = 46 | latency = 22262 µs
radar/rear | seq = 21 | latency = 23639 µs
camera/front | seq = 48 | latency = 24591 µs
camera/rear | seq = 48 | latency = 20555 µs
camera/right | seq = 47 | latency = 23208 µs
camera/left | seq = 49 | latency = 28044 µs
camera/front | seq = 49 | latency = 14741 µs
camera/rear | seq = 49 | latency = 16885 µs
camera/right | seq = 48 | latency = 16083 µs
radar/front | seq = 22 | latency = 17314 µs
radar/rear | seq = 22 | latency = 12584 µs
camera/left | seq = 50 | latency = 16688 µs
perception/objects | seq = 23 | latency = 2198 µs
camera/rear | seq = 50 | latency = 15504 µs
camera/front | seq = 50 | latency = 19139 µs
camera/right | seq = 49 | latency = 22896 µs
camera/left | seq = 51 | latency = 16648 µs
camera/rear | seq = 51 | latency = 20739 µs
camera/right | seq = 50 | latency = 19115 µs
camera/front | seq = 51 | latency = 22286 µs
lidar/main | seq = 19 | latency = 45542 µs
camera/left | seq = 52 | latency = 21821 µs
camera/rear | seq = 52 | latency = 25840 µs
perception/objects | seq = 24 | latency = 2181 µs
camera/right | seq = 51 | latency = 24117 µs
radar/rear | seq = 23 | latency = 24475 µs
camera/right | seq = 52 | latency = 13579 µs
camera/rear | seq = 53 | latency = 16375 µs
camera/front | seq = 53 | latency = 20327 µs
camera/left | seq = 54 | latency = 19365 µs
camera/right | seq = 53 | latency = 10563 µs
camera/rear | seq = 54 | latency = 11881 µs
camera/front | seq = 54 | latency = 16182 µs
camera/left | seq = 55 | latency = 16908 µs
radar/front | seq = 24 | latency = 11920 µs
radar/rear | seq = 24 | latency = 14252 µs
perception/objects | seq = 25 | latency = 2354 µs
camera/right | seq = 54 | latency = 12398 µs
camera/rear | seq = 55 | latency = 16656 µs
camera/left | seq = 56 | latency = 20511 µs
camera/front | seq = 55 | latency = 22250 µs
camera/rear | seq = 56 | latency = 15164 µs
lidar/main | seq = 21 | latency = 45819 µs
camera/right | seq = 55 | latency = 17919 µs
camera/left | seq = 57 | latency = 20648 µs
camera/front | seq = 56 | latency = 23917 µs
radar/front | seq = 25 | latency = 13548 µs
camera/rear | seq = 57 | latency = 18188 µs
radar/rear | seq = 25 | latency = 18471 µs
perception/objects | seq = 26 | latency = 2362 µs
camera/right | seq = 56 | latency = 24629 µs
camera/left | seq = 58 | latency = 27717 µs
camera/front | seq = 57 | latency = 25162 µs
camera/right | seq = 57 | latency = 18657 µs
camera/rear | seq = 58 | latency = 19725 µs
camera/left | seq = 59 | latency = 13034 µs
camera/right | seq = 58 | latency = 13670 µs
camera/front | seq = 58 | latency = 15051 µs
radar/front | seq = 26 | latency = 11713 µs
camera/rear | seq = 59 | latency = 13872 µs
perception/objects | seq = 27 | latency = 2103 µs
radar/rear | seq = 26 | latency = 14552 µs
camera/left | seq = 60 | latency = 19579 µs
camera/right | seq = 59 | latency = 23109 µs
camera/front | seq = 59 | latency = 22968 µs
lidar/aux | seq = 22 | latency = 45549 µs
camera/rear | seq = 60 | latency = 19361 µs
camera/left | seq = 61 | latency = 23129 µs
camera/right | seq = 60 | latency = 28115 µs
camera/front | seq = 60 | latency = 26101 µs
camera/left | seq = 62 | latency = 22292 µs
perception/objects | seq = 28 | latency = 2107 µs
camera/rear | seq = 61 | latency = 24628 µs
radar/front | seq = 27 | latency = 21651 µs
camera/right | seq = 61 | latency = 22514 µs
radar/rear | seq = 27 | latency = 19921 µs
camera/left | seq = 63 | latency = 19538 µs
camera/front | seq = 61 | latency = 20200 µs
camera/rear | seq = 62 | latency = 16187 µs
camera/right | seq = 62 | latency = 14292 µs
camera/front | seq = 62 | latency = 10430 µs
camera/left | seq = 64 | latency = 13633 µs
camera/rear | seq = 63 | latency = 16338 µs
perception/objects | seq = 29 | latency = 2224 µs
camera/right | seq = 63 | latency = 19636 µs
radar/front | seq = 28 | latency = 17119 µs
camera/front | seq = 63 | latency = 15966 µs
lidar/main | seq = 24 | latency = 45840 µs
radar/rear | seq = 28 | latency = 16918 µs
camera/left | seq = 65 | latency = 19953 µs
camera/rear | seq = 64 | latency = 21368 µs
camera/right | seq = 64 | latency = 25614 µs
camera/front | seq = 64 | latency = 22229 µs
camera/rear | seq = 65 | latency = 20072 µs
camera/left | seq = 66 | latency = 24063 µs
perception/objects | seq = 30 | latency = 1757 µs
camera/right | seq = 65 | latency = 15599 µs
camera/front | seq = 65 | latency = 16571 µs
radar/front | seq = 29 | latency = 16629 µs
camera/rear | seq = 66 | latency = 16185 µs
radar/rear | seq = 29 | latency = 16616 µs
camera/left | seq = 67 | latency = 14828 µs
camera/front | seq = 66 | latency = 17100 µs
camera/right | seq = 66 | latency = 20989 µs
camera/rear | seq = 67 | latency = 14621 µs
camera/left | seq = 68 | latency = 16502 µs
camera/front | seq = 67 | latency = 19438 µs
perception/objects | seq = 31 | latency = 2085 µs
camera/right | seq = 67 | latency = 24196 µs
lidar/aux | seq = 25 | latency = 45857 µs
camera/rear | seq = 68 | latency = 20134 µs
radar/front | seq = 30 | latency = 20882 µs
camera/left | seq = 69 | latency = 22970 µs
camera/right | seq = 68 | latency = 25759 µs
camera/front | seq = 68 | latency = 29314 µs
radar/rear | seq = 30 | latency = 31034 µs
camera/rear | seq = 69 | latency = 29024 µs
camera/left | seq = 70 | latency = 26401 µs
camera/front | seq = 69 | latency = 20772 µs
camera/right | seq = 69 | latency = 21668 µs
camera/rear | seq = 70 | latency = 15858 µs
perception/objects | seq = 32 | latency = 1712 µs
camera/left | seq = 71 | latency = 14167 µs
radar/front | seq = 31 | latency = 13103 µs
camera/right | seq = 70 | latency = 12741 µs
camera/front | seq = 70 | latency = 14391 µs
camera/left | seq = 72 | latency = 14173 µs
camera/rear | seq = 71 | latency = 18735 µs
radar/rear | seq = 31 | latency = 20210 µs
camera/right | seq = 71 | latency = 16666 µs
camera/front | seq = 71 | latency = 20672 µs
lidar/main | seq = 27 | latency = 45796 µs
camera/left | seq = 73 | latency = 21927 µs
camera/rear | seq = 72 | latency = 26280 µs
perception/objects | seq = 33 | latency = 2356 µs
radar/front | seq = 32 | latency = 17399 µs
camera/front | seq = 72 | latency = 22990 µs
camera/right | seq = 72 | latency = 26506 µs
camera/left | seq = 74 | latency = 29288 µs
camera/front | seq = 73 | latency = 22016 µs
camera/rear | seq = 73 | latency = 23367 µs
radar/rear | seq = 32 | latency = 22905 µs
camera/right | seq = 73 | latency = 20020 µs
camera/left | seq = 75 | latency = 21815 µs
camera/front | seq = 74 | latency = 19762 µs
camera/rear | seq = 74 | latency = 15150 µs
perception/objects | seq = 34 | latency = 2293 µs
radar/front | seq = 33 | latency = 14214 µs
camera/left | seq = 76 | latency = 15405 µs
camera/right | seq = 74 | latency = 18140 µs
camera/front | seq = 75 | latency = 20284 µs
camera/rear | seq = 75 | latency = 22627 µs
camera/left | seq = 77 | latency = 19005 µs
lidar/aux | seq = 28 | latency = 45671 µs
camera/right | seq = 75 | latency = 20425 µs
radar/rear | seq = 33 | latency = 19345 µs
camera/front | seq = 76 | latency = 21465 µs
camera/rear | seq = 76 | latency = 22998 µs
camera/left | seq = 78 | latency = 17528 µs
perception/objects | seq = 35 | latency = 2240 µs
camera/right | seq = 76 | latency = 20725 µs
radar/front | seq = 34 | latency = 17047 µs
camera/rear | seq = 77 | latency = 13390 µs
camera/front | seq = 77 | latency = 18278 µs
camera/right | seq = 77 | latency = 14167 µs
camera/left | seq = 79 | latency = 19263 µs
camera/rear | seq = 78 | latency = 18841 µs
camera/front | seq = 78 | latency = 21637 µs
lidar/aux | seq = 29 | latency = 45239 µs
radar/rear | seq = 34 | latency = 23548 µs
perception/objects | seq = 36 | latency = 2282 µs
camera/right | seq = 78 | latency = 19885 µs
camera/left | seq = 80 | latency = 25302 µs
camera/rear | seq = 79 | latency = 25798 µs
camera/front | seq = 79 | latency = 26475 µs
radar/front | seq = 35 | latency = 28196 µs
camera/right | seq = 79 | latency = 25611 µs
camera/left | seq = 81 | latency = 21298 µs
camera/rear | seq = 80 | latency = 22341 µs
camera/front | seq = 80 | latency = 15430 µs
radar/rear | seq = 35 | latency = 16227 µs
camera/right | seq = 80 | latency = 16011 µs
perception/objects | seq = 37 | latency = 2107 µs
camera/left | seq = 82 | latency = 21958 µs
camera/rear | seq = 81 | latency = 17771 µs
camera/front | seq = 81 | latency = 17553 µs
camera/right | seq = 81 | latency = 18361 µs
radar/front | seq = 36 | latency = 18852 µs
camera/left | seq = 83 | latency = 22863 µs
lidar/main | seq = 31 | latency = 45399 µs
camera/rear | seq = 82 | latency = 23866 µs
radar/rear | seq = 36 | latency = 13881 µs
camera/right | seq = 82 | latency = 19526 µs
camera/left | seq = 84 | latency = 22655 µs
perception/objects | seq = 38 | latency = 2154 µs
camera/rear | seq = 83 | latency = 27075 µs
camera/front | seq = 83 | latency = 23263 µs
camera/right | seq = 83 | latency = 20959 µs
camera/left | seq = 85 | latency = 20449 µs
radar/front | seq = 37 | latency = 18342 µs
camera/rear | seq = 84 | latency = 17359 µs
camera/front | seq = 84 | latency = 20605 µs
camera/right | seq = 84 | latency = 17268 µs
camera/left | seq = 86 | latency = 21987 µs
radar/rear | seq = 37 | latency = 18327 µs
camera/rear | seq = 85 | latency = 21826 µs
perception/objects | seq = 39 | latency = 2188 µs
camera/front | seq = 85 | latency = 17348 µs
camera/left | seq = 87 | latency = 17250 µs
camera/right | seq = 85 | latency = 22882 µs
camera/rear | seq = 86 | latency = 25624 µs
lidar/aux | seq = 32 | latency = 45567 µs
camera/front | seq = 86 | latency = 22504 µs
radar/front | seq = 38 | latency = 23872 µs
camera/right | seq = 86 | latency = 22906 µs
camera/left | seq = 88 | latency = 27592 µs
camera/rear | seq = 87 | latency = 25514 µs
radar/rear | seq = 38 | latency = 25973 µs
perception/objects | seq = 40 | latency = 2088 µs
camera/front | seq = 87 | latency = 30744 µs
camera/right | seq = 87 | latency = 26800 µs
camera/left | seq = 89 | latency = 19699 µs
camera/rear | seq = 88 | latency = 13326 µs
radar/front | seq = 39 | latency = 11388 µs
camera/front | seq = 88 | latency = 13828 µs
camera/right | seq = 88 | latency = 16188 µs
camera/left | seq = 90 | latency = 17283 µs
camera/rear | seq = 89 | latency = 16800 µs
camera/front | seq = 89 | latency = 16998 µs
radar/rear | seq = 39 | latency = 14432 µs
camera/right | seq = 89 | latency = 19393 µs
perception/objects | seq = 41 | latency = 2198 µs
camera/left | seq = 91 | latency = 21839 µs
camera/rear | seq = 90 | latency = 23504 µs
lidar/aux | seq = 34 | latency = 45497 µs
camera/front | seq = 90 | latency = 23833 µs
camera/left | seq = 92 | latency = 21660 µs
camera/right | seq = 90 | latency = 25666 µs
radar/front | seq = 40 | latency = 27293 µs
camera/rear | seq = 91 | latency = 31627 µs
camera/front | seq = 91 | latency = 28201 µs
camera/left | seq = 93 | latency = 23189 µs
perception/objects | seq = 42 | latency = 1891 µs
radar/rear | seq = 40 | latency = 16402 µs
camera/right | seq = 91 | latency = 19423 µs
camera/front | seq = 92 | latency = 15363 µs
camera/rear | seq = 92 | latency = 17945 µs
camera/left | seq = 94 | latency = 13137 µs
camera/front | seq = 93 | latency = 8431 µs
radar/front | seq = 41 | latency = 10863 µs
