Topic,Avg Latency (µs),Min Latency,Max Latency,Received,Expected,Reach Rate (%)
perception/objects,4350,2112,6044,1188,1188,100.00
camera/front,26708,6615,53167,2228,2439,91.35
camera/left,26712,7782,54841,2251,2441,92.22
camera/right,26759,5345,53411,2232,2435,91.66
camera/rear,26653,5191,54545,2241,2448,91.54
radar/front,25656,6160,52722,968,1107,87.44
lidar/main,48297,33264,65530,491,1057,46.45
radar/rear,25664,7255,52631,991,1106,89.60
lidar/aux,47932,31857,65464,505,1061,47.60
