camera/rear | seq = 27 | latency = 22094 µs
camera/right | seq = 28 | latency = 21389 µs
camera/left | seq = 29 | latency = 20563 µs
radar/front | seq = 13 | latency = 19029 µs
perception/objects | seq = 14 | latency = 3287 µs
camera/rear | seq = 28 | latency = 23755 µs
radar/rear | seq = 13 | latency = 25757 µs
camera/front | seq = 28 | latency = 31009 µs
camera/right | seq = 29 | latency = 32561 µs
camera/left | seq = 30 | latency = 31221 µs
camera/rear | seq = 29 | latency = 27775 µs
camera/front | seq = 29 | latency = 19603 µs
camera/right | seq = 30 | latency = 17136 µs
camera/left | seq = 31 | latency = 18182 µs
radar/front | seq = 14 | latency = 14588 µs
camera/rear | seq = 30 | latency = 17080 µs
perception/objects | seq = 15 | latency = 3013 µs
camera/front | seq = 30 | latency = 22489 µs
radar/rear | seq = 14 | latency = 24168 µs
camera/right | seq = 31 | latency = 23683 µs
camera/left | seq = 32 | latency = 25255 µs
camera/rear | seq = 31 | latency = 25927 µs
camera/front | seq = 31 | latency = 27912 µs
lidar/aux | seq = 12 | latency = 47474 µs
camera/right | seq = 32 | latency = 24204 µs
camera/rear | seq = 32 | latency = 18893 µs
camera/right | seq = 33 | latency = 16862 µs
radar/front | seq = 15 | latency = 17603 µs
perception/objects | seq = 16 | latency = 2840 µs
camera/front | seq = 32 | latency = 23529 µs
radar/rear | seq = 15 | latency = 22102 µs
camera/left | seq = 34 | latency = 26417 µs
camera/rear | seq = 33 | latency = 28109 µs
camera/right | seq = 34 | latency = 26604 µs
camera/front | seq = 33 | latency = 28125 µs
lidar/aux | seq = 13 | latency = 47713 µs
camera/left | seq = 35 | latency = 26979 µs
camera/right | seq = 35 | latency = 19272 µs
camera/rear | seq = 34 | latency = 25404 µs
camera/left | seq = 36 | latency = 19530 µs
perception/objects | seq = 17 | latency = 3071 µs
camera/front | seq = 34 | latency = 25171 µs
radar/front | seq = 16 | latency = 27137 µs
radar/rear | seq = 16 | latency = 26344 µs
camera/right | seq = 36 | latency = 26216 µs
camera/front | seq = 35 | latency = 19069 µs
camera/right | seq = 37 | latency = 19446 µs
lidar/aux | seq = 14 | latency = 47429 µs
camera/left | seq = 38 | latency = 17818 µs
camera/rear | seq = 36 | latency = 20389 µs
camera/front | seq = 36 | latency = 19465 µs
camera/right | seq = 38 | latency = 20314 µs
perception/objects | seq = 18 | latency = 3527 µs
camera/rear | seq = 37 | latency = 19781 µs
radar/front | seq = 17 | latency = 22041 µs
radar/rear | seq = 17 | latency = 22565 µs
camera/left | seq = 39 | latency = 27354 µs
camera/front | seq = 37 | latency = 28116 µs
camera/right | seq = 39 | latency = 30100 µs
camera/rear | seq = 38 | latency = 27524 µs
lidar/aux | seq = 15 | latency = 47952 µs
camera/left | seq = 40 | latency = 19295 µs
camera/front | seq = 38 | latency = 21278 µs
radar/front | seq = 18 | latency = 9358 µs
camera/rear | seq = 39 | latency = 15181 µs
perception/objects | seq = 19 | latency = 3666 µs
radar/rear | seq = 18 | latency = 14125 µs
camera/left | seq = 41 | latency = 18295 µs
camera/front | seq = 39 | latency = 23546 µs
camera/right | seq = 41 | latency = 24136 µs
camera/rear | seq = 40 | latency = 18946 µs
camera/left | seq = 42 | latency = 19214 µs
lidar/aux | seq = 16 | latency = 47439 µs
camera/front | seq = 40 | latency = 24384 µs
camera/right | seq = 42 | latency = 27548 µs
camera/rear | seq = 41 | latency = 14326 µs
perception/objects | seq = 20 | latency = 3329 µs
camera/left | seq = 43 | latency = 19220 µs
radar/front | seq = 19 | latency = 20450 µs
camera/front | seq = 41 | latency = 24957 µs
camera/right | seq = 43 | latency = 25407 µs
camera/rear | seq = 42 | latency = 18695 µs
camera/left | seq = 44 | latency = 23093 µs
camera/front | seq = 42 | latency = 24433 µs
lidar/aux | seq = 17 | latency = 46083 µs
camera/right | seq = 44 | latency = 27649 µs
camera/rear | seq = 43 | latency = 17418 µs
camera/left | seq = 45 | latency = 20660 µs
perception/objects | seq = 21 | latency = 3330 µs
camera/front | seq = 43 | latency = 23355 µs
radar/front | seq = 20 | latency = 20513 µs
camera/right | seq = 45 | latency = 20271 µs
radar/rear | seq = 20 | latency = 18641 µs
camera/left | seq = 46 | latency = 24881 µs
camera/rear | seq = 44 | latency = 27623 µs
camera/front | seq = 44 | latency = 27380 µs
camera/right | seq = 46 | latency = 27942 µs
lidar/main | seq = 20 | latency = 47817 µs
camera/left | seq = 47 | latency = 26955 µs
camera/front | seq = 45 | latency = 23159 µs
perception/objects | seq = 22 | latency = 3534 µs
camera/rear | seq = 45 | latency = 26528 µs
camera/left | seq = 48 | latency = 22883 µs
radar/rear | seq = 21 | latency = 21274 µs
camera/front | seq = 46 | latency = 21124 µs
camera/rear | seq = 46 | latency = 24548 µs
camera/left | seq = 49 | latency = 25503 µs
camera/right | seq = 48 | latency = 27836 µs
camera/front | seq = 47 | latency = 25685 µs
perception/objects | seq = 23 | latency = 3347 µs
camera/rear | seq = 47 | latency = 25682 µs
camera/right | seq = 49 | latency = 17725 µs
camera/front | seq = 48 | latency = 22674 µs
radar/front | seq = 22 | latency = 23408 µs
radar/rear | seq = 22 | latency = 20286 µs
camera/rear | seq = 48 | latency = 23174 µs
camera/left | seq = 51 | latency = 25651 µs
camera/front | seq = 49 | latency = 17796 µs
camera/right | seq = 50 | latency = 22935 µs
camera/left | seq = 52 | latency = 13762 µs
camera/rear | seq = 49 | latency = 17156 µs
perception/objects | seq = 24 | latency = 3765 µs
camera/front | seq = 50 | latency = 19592 µs
camera/right | seq = 51 | latency = 19248 µs
radar/front | seq = 23 | latency = 20578 µs
radar/rear | seq = 23 | latency = 18871 µs
camera/rear | seq = 50 | latency = 21659 µs
lidar/main | seq = 22 | latency = 47396 µs
camera/left | seq = 53 | latency = 24795 µs
camera/right | seq = 52 | latency = 16158 µs
camera/left | seq = 54 | latency = 11340 µs
camera/rear | seq = 51 | latency = 15201 µs
camera/front | seq = 52 | latency = 20435 µs
camera/right | seq = 53 | latency = 15687 µs
perception/objects | seq = 25 | latency = 3172 µs
radar/front | seq = 24 | latency = 11114 µs
camera/rear | seq = 52 | latency = 16374 µs
camera/left | seq = 55 | latency = 21220 µs
camera/front | seq = 53 | latency = 24965 µs
radar/rear | seq = 24 | latency = 27400 µs
lidar/main | seq = 23 | latency = 47798 µs
camera/right | seq = 54 | latency = 21479 µs
camera/rear | seq = 53 | latency = 20332 µs
camera/front | seq = 54 | latency = 22599 µs
camera/left | seq = 56 | latency = 24400 µs
camera/right | seq = 55 | latency = 17899 µs
perception/objects | seq = 26 | latency = 2841 µs
camera/rear | seq = 54 | latency = 22736 µs
camera/front | seq = 55 | latency = 20030 µs
radar/front | seq = 25 | latency = 21594 µs
camera/left | seq = 57 | latency = 26393 µs
camera/right | seq = 56 | latency = 22487 µs
camera/rear | seq = 55 | latency = 27327 µs
lidar/aux | seq = 22 | latency = 47772 µs
radar/rear | seq = 25 | latency = 27943 µs
camera/front | seq = 56 | latency = 24639 µs
camera/left | seq = 58 | latency = 28801 µs
camera/right | seq = 57 | latency = 22674 µs
perception/objects | seq = 27 | latency = 3561 µs
camera/rear | seq = 56 | latency = 20752 µs
camera/left | seq = 59 | latency = 19899 µs
radar/front | seq = 26 | latency = 21541 µs
camera/front | seq = 57 | latency = 26377 µs
camera/rear | seq = 57 | latency = 21059 µs
camera/left | seq = 60 | latency = 20530 µs
lidar/aux | seq = 23 | latency = 47818 µs
radar/rear | seq = 26 | latency = 20364 µs
camera/front | seq = 58 | latency = 23707 µs
camera/rear | seq = 58 | latency = 17527 µs
camera/left | seq = 61 | latency = 14460 µs
camera/front | seq = 59 | latency = 16181 µs
perception/objects | seq = 28 | latency = 2898 µs
camera/right | seq = 60 | latency = 17253 µs
camera/rear | seq = 59 | latency = 21039 µs
radar/front | seq = 27 | latency = 22311 µs
camera/left | seq = 62 | latency = 21781 µs
camera/front | seq = 60 | latency = 19839 µs
camera/right | seq = 61 | latency = 23629 µs
lidar/aux | seq = 24 | latency = 48289 µs
camera/rear | seq = 60 | latency = 24868 µs
camera/left | seq = 63 | latency = 20136 µs
camera/front | seq = 61 | latency = 16689 µs
camera/right | seq = 62 | latency = 18715 µs
perception/objects | seq = 29 | latency = 3320 µs
camera/rear | seq = 61 | latency = 21056 µs
camera/left | seq = 64 | latency = 20946 µs
radar/front | seq = 28 | latency = 23000 µs
camera/front | seq = 62 | latency = 24427 µs
camera/right | seq = 63 | latency = 22679 µs
camera/left | seq = 65 | latency = 22480 µs
camera/rear | seq = 62 | latency = 27033 µs
lidar/aux | seq = 25 | latency = 48078 µs
camera/front | seq = 63 | latency = 27969 µs
radar/rear | seq = 28 | latency = 28137 µs
camera/right | seq = 64 | latency = 26626 µs
camera/left | seq = 66 | latency = 24084 µs
perception/objects | seq = 30 | latency = 3649 µs
camera/rear | seq = 63 | latency = 20704 µs
camera/front | seq = 64 | latency = 24177 µs
radar/front | seq = 29 | latency = 26717 µs
camera/left | seq = 67 | latency = 18901 µs
camera/rear | seq = 64 | latency = 21777 µs
camera/front | seq = 65 | latency = 24626 µs
lidar/aux | seq = 26 | latency = 47914 µs
