Topic,Avg Latency (µs),Min Latency,Max Latency,Received,Expected,Reach Rate (%)
camera/front,21370,6931,35449,2602,2693,96.62
perception/objects,3371,2785,4834,1188,1188,100.00
camera/left,21372,6765,34748,2584,2697,95.81
camera/right,21353,5474,35984,2605,2699,96.52
camera/rear,21471,6210,34936,2587,2690,96.17
lidar/main,51721,39610,77912,328,1030,31.84
radar/rear,19970,5272,33478,1094,1156,94.64
radar/front,20265,5814,33320,1095,1158,94.56
lidar/aux,51371,44366,58619,291,1010,28.81
