Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/obstacle_velocity_limiter/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/obstacle_velocity_limiter/processing_time_ms_diag,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/out_of_lane/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/out_of_lane/processing_time_ms_diag,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/debug/processing_time_ms_diag,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/dynamic_obstacle_stop/debug_markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/dynamic_obstacle_stop/virtual_walls,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/obstacle_velocity_limiter/debug_markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/obstacle_velocity_limiter/virtual_walls,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/out_of_lane/debug_markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/motion_velocity_planner/out_of_lane/virtual_walls,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_avoidance_planner/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/debug/cruise/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/debug/cruise_planning_info,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/debug/marker,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/debug/slow_down/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/debug/slow_down_planning_info,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/debug/stop_planning_info,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_cruise_planner/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/obstacle_stop_planner/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/calculation_time,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/extended_traj,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/marker,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/mpt_fixed_traj,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/mpt_ref_traj,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/mpt_traj,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/processing_time_detail_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/path_optimizer/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/lane_driving/motion_planning/surround_obstacle_checker/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/status/infrastructure_commands,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/status/stop_reasons,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/backward_filtered_trajectory,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/forward_filtered_trajectory,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/merged_filtered_trajectory,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/processing_time_detail_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/processing_time_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/trajectory_external_velocity_limited,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/trajectory_lateral_acc_filtered,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/trajectory_raw,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/trajectory_steering_rate_limited,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/debug/trajectory_time_resampled,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/scenario_planning/velocity_smoother/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/mission_planning/mission_planner/debug/goal_footprint,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planningplanning_validator/virtual_wall,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
