Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
planning/auto_mode_status/blind_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/crosswalk,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/detection_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/external_request_lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/external_request_lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/goal_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/intersection,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/intersection_occlusion,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/no_stopping_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/occlusion_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/start_planner,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/static_obstacle_avoidance_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/static_obstacle_avoidance_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/auto_mode_status/virtual_traffic_light,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/avoidance_by_lane_change_left,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/avoidance_by_lane_change_right,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/blind_spot,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/crosswalk,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
planning/cooperate_status/detection_area,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
