perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/centerpoint/objects,Control/Planning,Critical,10,0.1K,1KB/s
perception/object_recognition/detection/centerpoint/objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/clustering/debug/clusters,Vehicle/System,Less-Critical,10,2K,20KB/s
perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/clustering/objects/debug/published_time,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/pipeline_latency_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
perception/object_recognition/detection/debug/downsampled_map/pointcloud,Vehicle/System,Less-Critical,0,0.1K,0
perception/object_recognition/detection/detection_by_tracker/debug/divided_objects,Vehicle/System,Less-Critical,10,0.03K,0.2KB/s
perception/object_recognition/detection/detection_by_tracker/debug/initial_objects,Vehicle/System,Less-Critical,10,0.03K,0.2KB/s
perception/object_recognition/detection/detection_by_tracker/debug/merged_objects,Vehicle/System,Less-Critical,10,0.03K,0.2KB/s
