localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/debug/clusters,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/debug/downsampled_map/pointcloud,Less-Critical,Vehicle/System,0,0.1K,0
perception/object_recognition/detection/detection_by_tracker/debug/divided_objects,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/debug/initial_objects,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/debug/merged_objects,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/debug/tracked_objects,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/detection_by_tracker/objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/object_association_merger/debug/cyclic_time_ms,Less-Critical,Vehicle/System,20,1K,20KB/s
perception/object_recognition/detection/object_association_merger/debug/processing_time_ms,Less-Critical,Vehicle/System,20,1K,20KB/s
perception/object_recognition/detection/object_lanelet_filter/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/object_lanelet_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/objects_before_filter/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/obstacle_pointcloud_based_validator/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/pointcloud_map_filtered/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/temporary_merged_objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/detection/voxel_based_compare_map_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/prediction/map_based_prediction/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_detail_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/prediction/map_based_prediction/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/input_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/meas_to_tracked_object_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/objects_markers,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/multi_object_tracker/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/object_recognition/tracking/objects/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/crop_box_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/crop_box_filter/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/crop_box_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/pointcloud_map_filtered/downsampled/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/range_cropped/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/scan_ground_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/obstacle_segmentation/single_frame/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
sensing/lidar/concatenate_data_synchronizer/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
sensing/lidar/concatenate_data_synchronizer/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
sensing/lidar/concatenate_data_synchronizer/debug/sensing/lidar/top/pointcloud_before_sync/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
sensing/lidar/left/debug/ring_outlier_filter,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/left/ring_outlier_filter/debug/visibility,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/right/debug/ring_outlier_filter,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/right/ring_outlier_filter/debug/visibility,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/top/debug/ring_outlier_filter,Less-Critical,Vehicle/System,0,0.1K,0
sensing/lidar/top/ring_outlier_filter/debug/visibility,Less-Critical,Vehicle/System,0,0.1K,0
sensing/camera/main/camera_info,Sensor,Vehicle/System,10,0.4K,4KB/s
sensing/camera/main/image_raw,Sensor,Vehicle/System,10,1.23M,12.3MB/s
sensing/lidar/concatenated/pointcloud,Sensor,Vehicle/System,10,0.1M,1MB/s
sensing/lidar/left/aw_points,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/left/aw_points_ex,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/left/pointcloud,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/left/pointcloud_raw_ex,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/right/aw_points,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/right/aw_points_ex,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/right/pointcloud,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/right/pointcloud_raw_ex,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/top/aw_points,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/top/aw_points_ex,Sensor,Vehicle/System,0,0.1K,0
sensing/lidar/top/pointcloud,Sensor,Vehicle/System,10,0.1M,1MB/s
