Topic,Avg Latency (µs),Min Latency,Max Latency,Received,Expected,Reach Rate (%)
perception/objects,205,92,350,1189,1189,100.00
camera/front,35498,7830,66385,1725,2108,81.83
camera/left,35598,5468,68144,1711,2080,82.26
camera/right,35401,6815,70143,1727,2090,82.63
camera/rear,35727,6860,67011,1711,2091,81.83
radar/front,34788,8410,59204,790,1025,77.07
radar/rear,34684,6393,64698,783,1024,76.46
lidar/main,48090,38231,61132,320,1075,29.77
lidar/aux,48823,37400,72551,313,1066,29.36
