perception/objects | seq = 1 | latency = 194 µs
camera/front | seq = 1 | latency = 8056 µs
camera/left | seq = 1 | latency = 13756 µs
camera/right | seq = 1 | latency = 19557 µs
camera/rear | seq = 1 | latency = 24846 µs
radar/front | seq = 1 | latency = 24874 µs
radar/rear | seq = 1 | latency = 27634 µs
camera/front | seq = 2 | latency = 17095 µs
camera/left | seq = 2 | latency = 13485 µs
camera/right | seq = 2 | latency = 16077 µs
perception/objects | seq = 2 | latency = 162 µs
camera/rear | seq = 2 | latency = 15435 µs
camera/front | seq = 3 | latency = 13047 µs
camera/left | seq = 3 | latency = 5839 µs
camera/right | seq = 3 | latency = 7958 µs
camera/rear | seq = 3 | latency = 8679 µs
camera/front | seq = 4 | latency = 7830 µs
radar/rear | seq = 2 | latency = 9938 µs
radar/front | seq = 2 | latency = 13243 µs
camera/left | seq = 4 | latency = 16873 µs
camera/right | seq = 4 | latency = 19090 µs
perception/objects | seq = 3 | latency = 115 µs
camera/front | seq = 5 | latency = 13713 µs
camera/right | seq = 5 | latency = 14464 µs
camera/left | seq = 5 | latency = 20498 µs
camera/rear | seq = 5 | latency = 19879 µs
camera/front | seq = 6 | latency = 13833 µs
camera/right | seq = 6 | latency = 14380 µs
camera/left | seq = 6 | latency = 17167 µs
camera/rear | seq = 6 | latency = 21079 µs
radar/front | seq = 3 | latency = 24132 µs
radar/rear | seq = 3 | latency = 24744 µs
perception/objects | seq = 4 | latency = 213 µs
camera/front | seq = 7 | latency = 21565 µs
camera/right | seq = 7 | latency = 23745 µs
camera/left | seq = 7 | latency = 30160 µs
camera/rear | seq = 7 | latency = 32222 µs
camera/front | seq = 8 | latency = 30116 µs
camera/right | seq = 8 | latency = 32809 µs
camera/left | seq = 8 | latency = 28436 µs
radar/front | seq = 4 | latency = 20426 µs
perception/objects | seq = 5 | latency = 270 µs
camera/front | seq = 9 | latency = 15945 µs
camera/left | seq = 9 | latency = 16650 µs
camera/right | seq = 9 | latency = 20556 µs
camera/rear | seq = 9 | latency = 21948 µs
camera/front | seq = 10 | latency = 22408 µs
camera/left | seq = 10 | latency = 23689 µs
camera/right | seq = 10 | latency = 28596 µs
camera/rear | seq = 10 | latency = 27168 µs
perception/objects | seq = 6 | latency = 97 µs
radar/front | seq = 5 | latency = 27248 µs
camera/front | seq = 11 | latency = 28920 µs
camera/left | seq = 11 | latency = 28708 µs
radar/rear | seq = 5 | latency = 31723 µs
camera/right | seq = 11 | latency = 27614 µs
camera/rear | seq = 11 | latency = 22888 µs
camera/front | seq = 12 | latency = 22492 µs
camera/left | seq = 12 | latency = 21661 µs
camera/rear | seq = 12 | latency = 23775 µs
perception/objects | seq = 7 | latency = 306 µs
camera/right | seq = 12 | latency = 29183 µs
camera/front | seq = 13 | latency = 28846 µs
radar/front | seq = 6 | latency = 29198 µs
camera/left | seq = 13 | latency = 31316 µs
camera/rear | seq = 13 | latency = 30554 µs
radar/rear | seq = 6 | latency = 26284 µs
camera/right | seq = 13 | latency = 26149 µs
camera/front | seq = 14 | latency = 25494 µs
camera/left | seq = 14 | latency = 19965 µs
perception/objects | seq = 8 | latency = 266 µs
camera/rear | seq = 14 | latency = 18635 µs
camera/right | seq = 14 | latency = 25182 µs
camera/front | seq = 15 | latency = 24155 µs
radar/front | seq = 7 | latency = 27179 µs
camera/left | seq = 15 | latency = 28479 µs
camera/right | seq = 15 | latency = 26997 µs
camera/rear | seq = 15 | latency = 30368 µs
radar/rear | seq = 7 | latency = 26440 µs
camera/front | seq = 16 | latency = 29489 µs
camera/left | seq = 16 | latency = 24838 µs
perception/objects | seq = 9 | latency = 281 µs
camera/right | seq = 16 | latency = 26303 µs
camera/rear | seq = 16 | latency = 23903 µs
camera/front | seq = 17 | latency = 26825 µs
radar/front | seq = 8 | latency = 24520 µs
camera/left | seq = 17 | latency = 27272 µs
camera/rear | seq = 17 | latency = 28080 µs
camera/front | seq = 18 | latency = 17417 µs
camera/left | seq = 18 | latency = 14437 µs
perception/objects | seq = 10 | latency = 269 µs
camera/rear | seq = 18 | latency = 15339 µs
camera/right | seq = 18 | latency = 18773 µs
camera/front | seq = 19 | latency = 15579 µs
camera/left | seq = 19 | latency = 15116 µs
radar/front | seq = 9 | latency = 17557 µs
camera/rear | seq = 19 | latency = 23007 µs
camera/right | seq = 19 | latency = 23293 µs
camera/front | seq = 20 | latency = 26925 µs
radar/rear | seq = 9 | latency = 30439 µs
perception/objects | seq = 11 | latency = 279 µs
camera/left | seq = 20 | latency = 27257 µs
camera/rear | seq = 20 | latency = 27929 µs
camera/front | seq = 21 | latency = 16031 µs
radar/front | seq = 10 | latency = 9872 µs
camera/right | seq = 21 | latency = 15730 µs
camera/rear | seq = 21 | latency = 21611 µs
camera/left | seq = 21 | latency = 26183 µs
camera/front | seq = 22 | latency = 21618 µs
camera/right | seq = 22 | latency = 22603 µs
perception/objects | seq = 12 | latency = 209 µs
radar/rear | seq = 10 | latency = 24208 µs
camera/rear | seq = 22 | latency = 27462 µs
camera/left | seq = 22 | latency = 28648 µs
camera/front | seq = 23 | latency = 27408 µs
camera/right | seq = 23 | latency = 27487 µs
radar/front | seq = 11 | latency = 22534 µs
camera/front | seq = 24 | latency = 12184 µs
radar/rear | seq = 11 | latency = 9970 µs
camera/right | seq = 24 | latency = 16582 µs
camera/left | seq = 24 | latency = 13027 µs
perception/objects | seq = 13 | latency = 227 µs
camera/rear | seq = 24 | latency = 19321 µs
camera/front | seq = 25 | latency = 21581 µs
camera/right | seq = 25 | latency = 26378 µs
camera/rear | seq = 25 | latency = 20682 µs
radar/front | seq = 12 | latency = 23294 µs
camera/left | seq = 25 | latency = 27344 µs
camera/front | seq = 26 | latency = 27984 µs
camera/right | seq = 26 | latency = 21318 µs
camera/left | seq = 26 | latency = 14913 µs
perception/objects | seq = 14 | latency = 284 µs
camera/front | seq = 27 | latency = 11768 µs
camera/right | seq = 27 | latency = 15726 µs
camera/rear | seq = 27 | latency = 22175 µs
camera/left | seq = 27 | latency = 21584 µs
radar/front | seq = 13 | latency = 22426 µs
camera/front | seq = 28 | latency = 20213 µs
camera/rear | seq = 28 | latency = 24513 µs
camera/right | seq = 28 | latency = 29726 µs
perception/objects | seq = 15 | latency = 155 µs
camera/left | seq = 28 | latency = 29885 µs
radar/rear | seq = 13 | latency = 27291 µs
camera/front | seq = 29 | latency = 24621 µs
camera/rear | seq = 29 | latency = 25231 µs
camera/right | seq = 29 | latency = 22233 µs
camera/left | seq = 29 | latency = 25589 µs
radar/front | seq = 14 | latency = 23460 µs
camera/front | seq = 30 | latency = 24689 µs
camera/rear | seq = 30 | latency = 22750 µs
perception/objects | seq = 16 | latency = 154 µs
camera/right | seq = 30 | latency = 28481 µs
camera/left | seq = 30 | latency = 32197 µs
camera/front | seq = 31 | latency = 29921 µs
camera/right | seq = 31 | latency = 15657 µs
radar/front | seq = 15 | latency = 13828 µs
camera/front | seq = 32 | latency = 17207 µs
camera/left | seq = 31 | latency = 21092 µs
camera/rear | seq = 32 | latency = 22009 µs
camera/right | seq = 32 | latency = 21098 µs
perception/objects | seq = 17 | latency = 181 µs
camera/front | seq = 33 | latency = 19811 µs
camera/left | seq = 32 | latency = 26089 µs
camera/right | seq = 33 | latency = 19481 µs
radar/rear | seq = 15 | latency = 20960 µs
camera/front | seq = 34 | latency = 23638 µs
camera/right | seq = 34 | latency = 10516 µs
camera/front | seq = 35 | latency = 12701 µs
camera/left | seq = 34 | latency = 14000 µs
camera/rear | seq = 35 | latency = 20135 µs
perception/objects | seq = 18 | latency = 272 µs
camera/right | seq = 35 | latency = 13315 µs
camera/front | seq = 36 | latency = 17427 µs
camera/left | seq = 35 | latency = 21840 µs
camera/rear | seq = 36 | latency = 27784 µs
radar/rear | seq = 16 | latency = 31173 µs
radar/front | seq = 17 | latency = 29705 µs
camera/right | seq = 36 | latency = 25421 µs
