Topic,Avg Latency (µs),Min Latency,Max Latency,Received,Expected,Reach Rate (%)
perception/objects,2299,1765,2993,1190,1190,100.00
camera/front,27467,8034,39034,2202,2434,90.47
camera/left,27399,7910,37944,2230,2431,91.73
camera/right,27390,9913,40562,2225,2434,91.41
camera/rear,27451,9576,39703,2216,2420,91.57
radar/front,25831,7272,39627,964,1108,87.00
radar/rear,26026,10814,46086,986,1112,88.67
lidar/main,51430,48445,52239,515,1103,46.69
lidar/aux,51391,41053,52219,583,1087,53.63
